Type;Signification;katakana;romanji;detail;exemple
Giseigo;Applaudissement;パチパチ;Pachi-pachi;"Représente le bruit de petits claquements répétés.

Applaudissements : Le son des mains qui frappent.
Crépitement/Claquement : Le bruit d'un feu, de braises, ou de petits objets qui éclatent.
Claquement (appareil) : Le bruit d'un appareil photo (déclencheur) ou d'un interrupteur. 
Clignotement (yeux) : L'action de cligner des yeux rapidement et de manière répétée. 
";"観客はパチパチと手を叩いた。
Le public a applaudi (en faisant un bruit de claquements).
彼女はステージでパチパチパチと拍手した。
Elle a applaudi bruyamment sur la scène. "
Giseigo;Atchoum (éternuement);ハクション、 クシャン;Hakushon, Kushan;"Pour représenter le bruit d'un... éternuement

ハクション (hakushon) : C'est la façon la plus courante et la plus classique de représenter le bruit d'un éternuement en japonais, souvent similaire au « Atchoum ! » français. 
クシャン (kushan) : C'est une autre variation, parfois utilisée pour un éternuement un peu plus petit ou rapide.";"彼は急に「ハクション！」と大きなくしゃみをした。
Il a soudain fait un grand « Atchoum ! » (éternuement)."
Giseigo;Baahaha (éléphant);パオー;Paō; Pour décrire le barrissement d'un éléphant.;"象がパオーと大きな声で鳴いた。
L'éléphant a barré d'une voix forte, faisant « Pa-ō ! »"
Giseigo;Bêê-bêê (caprin, ovin);メーメー;Mē-mē;"Le bêlement du mouton ou de la chèvre : C'est le sens le plus courant, l'équivalent du « Bêê » français.  
L'expression de l'indifférence : Moins courant, il peut être utilisé pour exprimer un manque d'intérêt ou d'enthousiasme, à la manière du « Meh » en anglais.";"羊がメーメーと鳴いている。
Le mouton bêle (fait « bêê-bêê »).

"
Giseigo;Bzzz-bzzz (abeille, guêpe, etc.);ブンブン;Bun-bun;"Décrit un son de vibration ou un mouvement rapide et continu.

Le bourdonnement/vrombissement : Le son d'insectes (abeilles, mouches), de moteurs, ou d'objets en rotation rapide. C'est l'équivalent du « Bzzz » ou « Vroum-vroum » français.
L'action de secouer/faire tournoyer : Le mouvement énergique, souvent en faisant un son d'air coupé (comme agiter une épée ou faire tourner une corde).";"蚊が耳の周りでブンブン飛んでいる。
Un moustique vole en bourdonnant (« bzzz ») autour de mon oreille.

彼は紐をブンブンと振り回した。 
Il a fait tournoyer la corde énergiquement (en faisant « vvvf »). "
Giseigo;Chute d'eau, goutte de pluie;ポツポツ;Potsu-potsu;"Liées à l'idée de choses distinctes et espacées.

Chutes/Écoulement espacé : Le bruit de l'eau qui tombe goutte par goutte, ou le début d'une pluie légère et espacée.
Petites taches/Points : L'apparence de boutons, de taches ou de marques dispersées sur une surface.
Action par intermittence/lentement : Une action qui commence lentement ou se produit sporadiquement.

";"雨がポツポツと降り始めた。
La pluie a commencé à tomber goutte par goutte (légèrement).

顔にポツポツとニキビができた。 
Des boutons (taches) sont apparus sur son visage.
 
彼は出来事をポツポツと話し始めた。 
Il a commencé à raconter les événements lentement, par intermittence. "
Giseigo;Cocorico (coq);コケコッコ;Kokekokko;Représente le chant du coq.;"朝、鶏が「コケコッコ！」と鳴いて目を覚ました。
Le matin, j'ai été réveillé par le coq qui chantait « Cocorico ! ».

"
Giseigo;Cot-cot-codec (poule);コッコッコ;Kokkokko;Représente le gloussement de la poule ou le cri d'un jeune coq ou d'un poussin.;"庭でひよこたちが「コッコッコ」と鳴きながら餌を啄んでいた。
Dans la cour, les poussins picoraient en gloussant (Â« cot-cot-cot Â») 
"
Giseigo;Hiii-hiii (cheval, zèbre);ヒーン;Hīn;"Exprime principalement la tristesse ou le bruit d'un cheval.
Pleurs/Gémissements : C'est le son d'un gémissement plaintif ou d'un pleur silencieux et triste. Il est souvent associé à un sentiment de détresse ou de grande tristesse, comme un petit enfant qui sanglote.  
Hennissement : C'est aussi la manière standard de représenter le hennissement du cheval (l'équivalent de ""Hiii"" ou ""Hii-hinn"" en français).";"彼は悔しくて「ヒーン」と泣き声を漏らした。
Il était tellement frustré qu'il laissa échapper un gémissement plaintif (« hīīīn »).

馬が空に向かって「ヒーン」と鳴いた。
Le cheval a henni (« Hii-hinn ») vers le ciel.
"
Giseigo;Miaou-miaou (félidé);ニャニャ、 ニャンニャン;Nya-nya, Nyan-nyan;"Pour le miaulement du chat.
ニャンニャン (nyan-nyan) : C'est la forme la plus courante pour le miaulement continu. 
ニャニャ (nya-nya) : C'est une variation qui peut parfois désigner un miaulement plus rapide ou une série de petits cris.
Chat : Utilisé par les jeunes enfants pour désigner un chat.  
Argot : Terme d'argot désignant l'acte sexuel.";"子猫がご飯を求めて「ニャンニャン」と鳴いている。
Le chaton miaule (« miaou-miaou ») pour réclamer à manger. "
Giseigo;Ouaf-ouaf (chien);ワンワン;Wan-wan;"L'aboiement du chien : C'est la façon japonaise de représenter le bruit que fait un chien, l'équivalent de notre « Ouaf-ouaf » ou « Wouf-wouf ».
Pleurs sonores : Il peut aussi décrire le bruit de quelqu'un qui pleure fort et bruyamment, souvent un enfant, l'équivalent de ""Ouah-ouah"" (comme un sanglot).
Nom pour un chien : Dans le langage enfantin, ワンワン désigne le chien lui-même.  ";"隣の犬が「ワンワン！」と吠えている。
Le chien du voisin aboie en faisant « Ouaf-ouaf ! ».
子どもは迷子になり、ワンワン泣き出した。
L'enfant s'est perdu et s'est mis à pleurer bruyamment (« ouah-ouah »).
ワンワンがボールを追いかけている。
Le chien (le « ouaf-ouaf ») court après la balle."
